iter	Passed	Remaining
0	101	101892
1	103	51575
2	104	34621
3	105	26152
4	105	21064
5	106	17661
6	107	15262
7	108	13496
8	109	12103
9	110	10978
10	111	10040
11	112	9259
12	113	8599
13	114	8032
14	114	7538
15	115	7110
16	116	6734
17	117	6397
18	118	6101
19	119	5831
20	119	5583
21	120	5361
22	121	5158
23	122	4969
24	123	4812
25	124	4658
26	125	4513
27	126	4377
28	127	4276
29	128	4166
30	129	4055
31	130	3950
32	131	3850
33	132	3757
34	132	3666
35	133	3582
36	134	3503
37	135	3429
38	136	3363
39	137	3310
40	138	3246
41	139	3185
42	140	3126
43	141	3068
44	142	3014
45	142	2962
46	143	2914
47	144	2868
48	145	2822
49	146	2777
50	146	2734
51	147	2694
52	148	2657
53	149	2619
54	150	2582
55	151	2554
56	152	2526
57	153	2494
58	154	2462
59	155	2433
60	156	2402
61	156	2373
62	157	2345
63	158	2318
64	159	2291
65	160	2265
66	160	2241
67	161	2218
68	162	2195
69	163	2172
70	164	2150
71	165	2129
72	166	2113
73	167	2095
74	168	2076
75	169	2056
76	169	2036
77	170	2018
78	171	2000
79	172	1982
80	173	1964
81	173	1946
82	174	1926
83	175	1909
84	175	1894
85	176	1879
86	177	1863
87	178	1848
88	179	1833
89	179	1819
90	181	1809
91	182	1797
92	182	1784
93	183	1770
94	184	1757
95	185	1744
96	186	1731
97	186	1718
98	187	1706
99	188	1695
100	189	1683
101	189	1671
102	190	1659
103	191	1648
104	192	1636
105	192	1625
106	193	1613
107	194	1602
108	194	1591
109	195	1580
110	196	1573
111	197	1565
112	198	1556
113	199	1546
114	199	1536
115	200	1527
116	200	1516
117	201	1506
118	202	1497
119	203	1489
120	203	1480
121	204	1470
122	204	1461
123	205	1452
124	206	1444
125	207	1436
126	207	1427
127	208	1419
128	208	1411
129	209	1403
130	210	1395
131	211	1390
132	212	1384
133	213	1377
134	213	1369
135	214	1362
136	215	1355
137	215	1348
138	216	1340
139	217	1333
140	217	1326
141	218	1318
142	218	1311
143	219	1305
144	220	1298
145	220	1292
146	221	1285
147	222	1279
148	222	1273
149	223	1267
150	224	1260
151	225	1255
152	225	1250
153	227	1247
154	227	1241
155	228	1235
156	229	1230
157	229	1224
158	230	1218
159	231	1213
160	231	1206
161	232	1201
162	232	1196
163	233	1191
164	234	1186
165	235	1181
166	235	1176
167	236	1170
168	237	1165
169	237	1161
170	238	1156
171	239	1153
172	240	1150
173	241	1146
174	242	1142
175	243	1138
176	243	1133
177	244	1129
178	245	1127
179	246	1124
180	247	1120
181	248	1116
182	248	1111
183	249	1107
184	250	1103
185	251	1099
186	252	1095
187	252	1091
188	253	1087
189	254	1083
190	254	1079
191	256	1078
192	257	1075
193	257	1071
194	258	1067
195	259	1063
196	259	1059
197	260	1055
198	261	1052
199	262	1048
200	262	1044
201	263	1041
202	264	1037
203	265	1034
204	265	1030
205	266	1027
206	267	1023
207	267	1019
208	268	1016
209	269	1012
210	269	1009
211	271	1009
212	272	1007
213	273	1004
214	274	1001
215	274	998
216	275	994
217	276	991
218	277	988
219	277	985
220	278	981
221	279	978
222	279	975
223	280	971
224	281	968
225	282	966
226	282	963
